"","X","Country","Date","Annual.GDP","GDP.per.capita","Debt","Debt.Per.Capita","Deficit...M...","Expenditure..M...","Expenditure.Per.Capita","Corruption.Index","Exports","Exports...GDP","Imports","Imports...GDP","Population","Fertility.Rate","Crude.death.rate","HDI","Life.expectancy","CO2.Tons.per.capita","Continent","status"
"633",633,"Luxembourg",2014,66209,120449,15053,26738,871,27778,49343,82,19098.9,0.289,26656,0.4034,562958,1.5,0.0069,0.895,82.3,17.7,"Europe","Developing"
"634",634,"Luxembourg",2013,61758,114996,14622,26601,602,26753.9,48672,80,18441.3,0.2982,26692.3,0.4318,549680,1.55,0.007,0.892,81.9,19.01,"Europe","Developing"
"635",635,"Luxembourg",2012,56710,108050,12462,23205,196,24976.6,46508,80,18833.4,0.3323,27542.6,0.4812,537039,1.57,0.0073,0.892,81.5,20.48,"Europe","Developing"
"636",636,"Luxembourg",2011,60073,117366,11240,21415,308,25455.8,48501,85,20866.3,0.3473,28859.8,0.4803,524853,1.52,0.0074,0.892,81.1,21.4,"Europe","Developing"
"637",637,"Luxembourg",2010,53308,106177,10541,20594,-351,23503.1,45919,85,19748.4,0.3529,25092.2,0.4658,511840,1.63,0.0074,0.889,80.8,22.14,"Europe","Developing"
"638",638,"Luxembourg",2009,51518,104393,8112,16157,-348,23282.7,46374,82,21338.7,0.4137,25330.2,0.4911,502066,1.59,0.0073,0.883,80.8,21.43,"Europe","Developing"
"639",639,"Luxembourg",2008,56072,115898,8361,16942,1862,22261.1,45109,80,25694.2,0.4582,32156.9,0.5734,493500,1.61,0.0074,0.89,80.7,23.18,"Europe","Developing"
"640",640,"Luxembourg",2007,50959,107014,3931,8125,2115,19263.3,39817,84,22933.3,0.4501,28028.9,0.5501,483799,1.61,0.0081,0.888,79.5,23.99,"Europe","Developing"
"641",641,"Luxembourg",2006,42452,90499,3302,6935,822,16835.7,35355,86,22979.7,0.5424,27144.5,0.6392,476187,1.65,0.008,0.881,79.4,25.74,"Europe","Developing"
"642",642,"Luxembourg",2005,37382,81048,2758,5880,29,16281.7,34709,85,19119.9,0.5126,22607.2,0.6045,469086,1.63,0.0078,0.878,79.6,26.55,"Europe","Developing"
"643",643,"Luxembourg",2004,34733,76344,2552,5534,-446,15228.7,33018,80,16249.7,0.4676,20046.4,0.5769,461230,1.66,0.0078,0.872,79.2,26.41,"Europe","Developing"
"644",644,"Luxembourg",2003,29615,66061,2056,4520,55,12886.5,28325,87,13297.1,0.4489,16165.1,0.5457,454960,1.62,0.009,0.864,77.9,23.46,"Europe","Developing"
"645",645,"Luxembourg",2002,23712,53400,1672,3730,579,9814.4,21892,90,10214.3,0.4304,12650.7,0.5331,448300,1.63,0.0084,0.863,78.1,22.7,"Europe","Developing"
"646",646,"Madagascar",2016,10126,407,4773,192,-131,1605.4,64,26,2253.7,0.2226,2965.8,0.2929,24894380,4.18,0.00632,0.517,65.93,0.16,"Africa","Developing"
"647",647,"Madagascar",2015,9703,400,3462,143,-323,1475.2,61,28,2048.3,0.2111,2794.8,0.288,24234088,4.24,0.00647,0.514,65.54,0.16,"Africa","Developing"
"648",648,"Madagascar",2014,10674,452,3698,157,-245,1571.9,67,28,2196.1,0.2057,3227.4,0.3024,23589887,4.3,0.00663,0.512,65.13,0.16,"Africa","Developing"
"649",649,"Madagascar",2013,10602,462,4503,196,-423,1578.1,69,28,1922.6,0.1813,3259.5,0.3074,22961253,4.37,0.0068,0.509,64.71,0.17,"Africa","Developing"
"650",650,"Madagascar",2012,9920,444,3522,158,-259,1332.6,60,32,1515.9,0.1528,3094.2,0.3119,22346641,4.44,0.00698,0.507,64.28,0.15,"Africa","Developing"
"651",651,"Madagascar",2011,9893,455,3460,159,-236,1391.3,64,30,1590,0.1607,2905.4,0.2937,21743967,4.52,0.00717,0.504,63.84,0.14,"Africa","Developing"
"652",652,"Madagascar",2010,8730,414,3226,153,-76,1224.9,58,26,1149.5,0.1317,2583.8,0.296,21080000,4.6,0.00738,0.504,63.39,0.1,"Africa","Developing"
"653",653,"Madagascar",2009,8550,417,3356,164,-218,1204.2,59,30,1052,0.123,3198.8,0.3741,20496000,4.69,0.00758,0.503,62.94,0.09,"Africa","Developing"
"654",654,"Madagascar",2008,9413,472,3318,167,-185,1685.3,85,30,1309.7,0.1391,3780.7,0.4016,19927000,4.78,0.0078,0.5,62.51,0.1,"Africa","Developing"
"655",655,"Madagascar",2007,7343,379,2405,124,-197,1371.2,71,32,1237.7,0.1686,2635.2,0.3589,19371000,4.87,0.00802,0.491,62.08,0.12,"Africa","Developing"
"656",656,"Madagascar",2006,5516,293,2061,109,-25,1181.5,63,31,985.3,0.1786,1803.7,0.327,18826000,4.96,0.00825,0.484,61.65,0.11,"Africa","Developing"
"657",657,"Madagascar",2005,5039,276,4355,238,-145,1074.7,59,28,854.6,0.1696,1706.3,0.3386,18290000,5.05,0.0085,0.479,61.21,0.12,"Africa","Developing"
"658",658,"Madagascar",2004,4364,246,4150,234,-214,1099.6,62,30,991.6,0.2272,1680,0.385,17763000,5.14,0.00877,0.472,60.75,0.12,"Africa","Developing"
"659",659,"Madagascar",2003,5474,317,5473,317,-212,1055.8,61,26,856,0.1564,1304.4,0.2383,17245000,5.24,0.00907,0.466,60.26,0.11,"Africa","Developing"
"660",660,"Madagascar",2002,4397,263,4643,277,-219,666.3,40,17,486,0.1105,626.7,0.1425,16736000,5.34,0.00941,0.457,59.72,0.11,"Africa","Developing"
"661",661,"Malawi",2016,5433,292,3027,162,-359,1527.8,82,31,1022.2,0.1881,2209.8,0.4067,18632000,4.41,0.00707,0.474,62.68,0.08,"Africa","Developing"
"662",662,"Malawi",2015,6407,354,3485,192,-361,1769.2,98,31,1080.1,0.1686,2311.6,0.3608,18111000,4.53,0.00742,0.47,61.95,0.08,"Africa","Developing"
"663",663,"Malawi",2014,6055,344,2891,164,-256,1575.4,89,33,1369.5,0.2262,2778.5,0.4589,17604000,4.67,0.00786,0.468,61.04,0.08,"Africa","Developing"
"664",664,"Malawi",2013,5432,317,2748,161,-298,1609.5,94,37,1208,0.2224,2844.6,0.5237,17111000,4.82,0.00843,0.461,59.93,0.08,"Africa","Developing"
"665",665,"Malawi",2012,5981,360,2407,145,-97,1585.1,95,37,1183,0.1978,2359.9,0.3946,16632000,4.99,0.00911,0.455,58.63,0.09,"Africa","Developing"
"666",666,"Malawi",2011,7984,494,2247,139,-302,1911.1,118,30,1425.3,0.1785,2427.7,0.3041,16166000,5.16,0.0099,0.45,57.16,0.09,"Africa","Developing"
"667",667,"Malawi",2010,6957,443,1890,120,117,1911.9,122,34,1066.2,0.1533,2173,0.3124,15714000,5.33,0.01079,0.441,55.56,0.1,"Africa","Developing"
"668",668,"Malawi",2009,6195,406,2051,134,-205,1753.7,115,33,1187.9,0.1918,2021.7,0.3263,15274000,5.49,0.01175,0.431,53.89,0.1,"Africa","Developing"
"669",669,"Malawi",2008,5321,358,1763,119,-180,1546.7,104,20,879,0.1652,2203.7,0.4141,14846000,5.63,0.01276,0.417,52.21,0.11,"Africa","Developing"
"670",670,"Malawi",2007,4431,307,1182,82,-118,1292.8,90,27,868.6,0.196,1377.8,0.311,14439000,5.75,0.01377,0.4,50.6,0.12,"Africa","Developing"
"671",671,"Malawi",2006,3998,285,1008,72,20,1000.3,71,27,668.4,0.1672,1206.7,0.3018,14043000,5.84,0.01473,0.389,49.12,0.11,"Africa","Developing"
"672",672,"Malawi",2005,3656,268,3649,267,-65,894.1,65,28,508.8,0.1392,1165.2,0.3187,13654000,5.91,0.01562,0.38,47.84,0.11,"Africa","Developing"
"673",673,"Malawi",2004,3476,260,3656,273,-111,838,63,20,483.2,0.139,932.5,0.2683,13385000,5.96,0.01638,0.375,46.82,0.09,"Africa","Developing"
"674",674,"Malawi",2003,3211,245,3832,293,-104,693.9,53,28,525.3,0.1636,785.9,0.2447,13098000,6,0.01702,0.374,46.05,0.08,"Africa","Developing"
"675",675,"Malawi",2002,3496,273,5000,390,-209,679.7,53,29,407.1,0.1165,695.1,0.1988,12813000,6.03,0.01752,0.37,45.52,0.08,"Africa","Developing"
"676",676,"Malaysia",2016,301255,9523,168109,5314,-7843,68396.5,2162,49,189742.8,0.6287,168684,0.5589,31634000,2.04,0.00494,0.799,75.65,7.9,"Asia","Developing"
"677",677,"Malaysia",2015,301355,9663,171665,5505,-7671,74450.8,2387,50,199951.5,0.6641,175970.9,0.5845,31186000,2.06,0.00488,0.795,75.46,8.12,"Asia","Developing"
"678",678,"Malaysia",2014,342868,11165,189808,6181,-9010,88975.3,2897,52,233927.4,0.6817,208850.5,0.6087,30709000,2.07,0.00482,0.79,75.27,8.26,"Asia","Developing"
"679",679,"Malaysia",2013,327869,10852,182475,6039,-11404,91079.8,3014,50,228330.8,0.6965,205897,0.6281,30214000,2.09,0.00477,0.785,75.07,7.97,"Asia","Developing"
"680",680,"Malaysia",2012,318910,10807,171427,5809,-9889,90849.8,3079,49,227537.7,0.7133,196392.5,0.6156,29510000,2.11,0.00472,0.781,74.88,7.53,"Asia","Developing"
"681",681,"Malaysia",2011,302194,10398,156866,5398,-10783,81874.8,2817,43,228086.1,0.7541,187473.1,0.6199,29062000,2.13,0.00468,0.778,74.68,7.6,"Asia","Developing"
"682",682,"Malaysia",2010,258647,9047,132349,4629,-11162,68754.7,2405,44,198612,0.7673,164622.1,0.636,28589000,2.15,0.00465,0.772,74.49,7.7,"Asia","Developing"
"683",683,"Malaysia",2009,211882,7545,106923,3808,-12472,65520.6,2333,45,157244.1,0.741,123756.9,0.5832,28082000,2.17,0.00462,0.765,74.31,7.2,"Asia","Developing"
"684",684,"Malaysia",2008,242035,8769,95280,3452,-8242,65165.1,2361,50,199414.4,0.822,156348.4,0.6445,27600000,2.19,0.00459,0.761,74.12,8.13,"Asia","Developing"
"685",685,"Malaysia",2007,202800,7483,79790,2944,-5213,52496.9,1937,51,175965.6,0.8673,146170.3,0.7204,27100000,2.22,0.00457,0.75,73.93,7.8,"Asia","Developing"
"686",686,"Malaysia",2006,170472,6353,67609,2520,-4435,43594.8,1625,50,160748.8,0.943,130441.4,0.7652,26832000,2.25,0.00454,0.737,73.74,7.29,"Asia","Developing"
"687",687,"Malaysia",2005,150352,5679,61277,2314,-4257,36872.9,1393,51,141625.5,0.9421,114324.4,0.7605,26477000,2.29,0.00452,0.731,73.56,7.11,"Asia","Developing"
"688",688,"Malaysia",2004,135869,5245,57037,2202,-4558,35184.9,1358,50,126645.5,0.9322,105166.4,0.7741,25905000,2.36,0.00451,0.734,73.36,6.77,"Asia","Developing"
"689",689,"Malaysia",2003,120025,4740,49696,1963,-5519,33699.6,1331,52,104706.4,0.8723,83299.4,0.694,25320000,2.44,0.0045,0.731,73.17,6.4,"Asia","Developing"
"690",690,"Malaysia",2002,109834,4442,43452,1757,-4352,29835.2,1207,49,94060.5,0.8564,79760.6,0.7262,24727000,2.54,0.0045,0.725,72.98,6.18,"Asia","Developing"
"691",691,"Mauritius",2016,12232,9681,8164,6459,-435,3083.1,2439,54,2359.4,0.1929,4654.6,0.3805,1264000,1.4,0.0081,0.788,74.39,3.1,"Africa","Developing"
"692",692,"Mauritius",2015,11692,9259,7824,6195,-431,2936.1,2325,53,2661.8,0.2277,4790.3,0.4097,1263000,1.36,0.0077,0.782,74.35,3.17,"Africa","Developing"
"693",693,"Mauritius",2014,12803,10152,7936,6293,-409,3010.5,2387,54,3093.9,0.2417,5610.3,0.4382,1261000,1.43,0.0077,0.782,74.19,3.17,"Africa","Developing"
"694",694,"Mauritius",2013,12130,9637,7164,5690,-418,2965.6,2356,52,2868.8,0.2365,5397.1,0.4449,1259000,1.44,0.0075,0.772,74.02,3.07,"Africa","Developing"
"695",695,"Mauritius",2012,11669,9291,6620,5271,-211,2664.5,2121,57,2649.1,0.227,5354.3,0.4588,1256000,1.54,0.0074,0.767,73.86,3,"Africa","Developing"
"696",696,"Mauritius",2011,11518,9197,6605,5276,-361,2772.4,2214,51,2565,0.2227,5148.8,0.447,1252000,1.55,0.0073,0.758,73.27,2.93,"Africa","Developing"
"697",697,"Mauritius",2010,10004,8000,5713,4570,-311,2436,1949,54,2261.5,0.2261,4385.7,0.4384,1250000,1.57,0.0073,0.749,72.97,2.95,"Africa","Developing"
"698",698,"Mauritius",2009,9129,7318,5410,4339,-316,2329.5,1868,54,1938.5,0.2123,3732.7,0.4089,1247000,1.59,0.0074,0.741,72.88,2.77,"Africa","Developing"
"699",699,"Mauritius",2008,9990,8030,5002,4021,-270,2298.4,1848,50,2383.9,0.2386,4651.5,0.4656,1244000,1.67,0.0072,0.734,72.57,2.82,"Africa","Developing"
"700",700,"Mauritius",2007,8150,6575,4376,3529,-255,1778,1434,47,2237.9,0.2746,3893.6,0.4777,1240000,1.74,0.0069,0.728,72.57,2.77,"Africa","Developing"
"701",701,"Mauritius",2006,7029,5696,4226,3424,-295,1578.5,1279,51,2328.8,0.3313,3626.7,0.516,1234000,1.77,0.0074,0.72,72.43,2.71,"Africa","Developing"
"702",702,"Mauritius",2005,6775,5516,4231,3445,-305,1580,1287,42,2143.3,0.3164,3157,0.466,1228000,1.88,0.007,0.713,72.43,2.44,"Africa","Developing"
"703",703,"Mauritius",2004,6869,5626,4258,3488,-302,1570.7,1286,40,1993.1,0.2902,2771,0.4034,1221000,1.92,0.0069,0.704,72.28,2.29,"Africa","Developing"
"704",704,"Mauritius",2003,6073,5005,4358,3593,-297,1443.2,1190,44,1898.1,0.3125,2363.4,0.3892,1213000,1.87,0.007,0.695,72.12,2.29,"Africa","Developing"
"705",705,"Mauritius",2002,5055,4196,3419,2838,-266,1193.7,991,45,1801.5,0.3564,2159.1,0.4271,1205000,1.94,0.0069,0.687,71.97,2.2,"Africa","Developing"
"706",706,"Mexico",2016,1077906,8816,611932,5005,-29832,295072.9,2413,30,373948.3,0.3471,397521.9,0.3689,122273000,2.19,0.00585,0.772,74.92,3.89,"North America","Developing"
"707",707,"Mexico",2015,1170567,9674,618382,5110,-46813,322182.8,2663,35,380550.2,0.3257,405282.4,0.3469,121006000,2.22,0.00576,0.767,74.9,3.87,"North America","Developing"
"708",708,"Mexico",2014,1314569,10981,642419,5366,-59631,367632,3071,35,396911.7,0.3019,411581.2,0.313,119713000,2.24,0.00567,0.761,74.91,3.86,"North America","Developing"
"709",709,"Mexico",2013,1274444,10764,584938,4941,-47243,353997.7,2990,34,380015.1,0.2982,390965.4,0.3068,118395000,2.27,0.00557,0.756,74.93,4.01,"North America","Developing"
"710",710,"Mexico",2012,1201094,10261,511948,4374,-44729,338664.2,2893,34,370769.9,0.3084,380477.2,0.3165,117054000,2.29,0.00547,0.757,74.97,4.17,"North America","Developing"
"711",711,"Mexico",2011,1180487,10205,506051,4374,-39387,327257,2829,30,349569,0.296,361067.8,0.3058,115683000,2.32,0.00537,0.751,75.01,4.1,"North America","Developing"
"712",712,"Mexico",2010,1057801,9258,443518,3882,-42013,292497.5,2560,31,298305.1,0.2818,310205.1,0.293,114256000,2.34,0.00527,0.743,75.07,4.08,"North America","Developing"
"713",713,"Mexico",2009,900047,7975,393532,3487,-37168,250441.9,2219,33,229712.3,0.2545,241515,0.2676,112853000,2.36,0.00516,0.743,75.13,4.02,"North America","Developing"
"714",714,"Mexico",2008,1109987,9973,471712,4238,-7915,307877.6,2766,30,291264.8,0.2611,318303.7,0.2854,111299000,2.39,0.00506,0.742,75.19,4.17,"North America","Developing"
"715",715,"Mexico",2007,1052697,9589,391616,3567,-16074,248236.2,2261,35,271821.2,0.2582,290246,0.2757,109787000,2.42,0.00496,0.739,75.26,4.22,"North America","Developing"
"716",716,"Mexico",2006,975383,8997,364997,3367,-12507,220126.7,2031,33,249960.5,0.2564,263476,0.2703,108409000,2.46,0.00487,0.736,75.3,4.22,"North America","Developing"
"717",717,"Mexico",2005,877477,8189,337854,3153,-13150,194015.1,1811,35,214207,0.2442,228240.2,0.2602,107151000,2.5,0.00479,0.728,75.3,4.14,"North America","Developing"
"718",718,"Mexico",2004,782243,7383,318962,3010,-11037,167730.8,1583,30,187980.4,0.2403,202259.8,0.2586,105952000,2.54,0.00473,0.724,75.24,4.03,"North America","Developing"
"719",719,"Mexico",2003,729335,6965,322640,3081,-17184,164680,1573,36,165396,0.227,175038.8,0.2402,104720000,2.58,0.0047,0.717,75.12,3.99,"North America","Developing"
"720",720,"Mexico",2002,772110,7466,323418,3127,-17696,160366.2,1551,36,160682,0.2088,173086.8,0.225,103418000,2.62,0.00469,0.71,74.92,3.84,"North America","Developing"
"721",721,"Morocco",2016,103346,2997,67047,1944,-4634,31558.4,915,37,22661.1,0.2192,41391.4,0.4004,34487000,2.49,0.00509,0.662,75.97,1.8,"Africa","Developing"
"722",722,"Morocco",2015,101179,2965,64431,1888,-4219,31061.5,910,36,22334.3,0.2205,38100.2,0.3762,34125000,2.52,0.00512,0.655,75.73,1.77,"Africa","Developing"
"723",723,"Morocco",2014,110081,3260,69706,2064,-5336,36179.3,1071,39,23919.5,0.2175,46282.7,0.4208,33770000,2.55,0.00514,0.65,75.48,1.74,"Africa","Developing"
"724",724,"Morocco",2013,106826,3200,65939,1976,-5435,35179.8,1054,37,21971.6,0.2058,45189.9,0.4234,33378000,2.57,0.00516,0.645,75.23,1.72,"Africa","Developing"
"725",725,"Morocco",2012,98266,2980,55517,1683,-7048,34583.9,1049,37,21445.7,0.2186,44872,0.4574,32978000,2.58,0.00518,0.635,74.97,1.75,"Africa","Developing"
"726",726,"Morocco",2011,101371,3112,53278,1635,-6666,34268.7,1052,34,21653.9,0.2137,44272.2,0.4369,32579000,2.58,0.0052,0.626,74.7,1.71,"Africa","Developing"
"727",727,"Morocco",2010,93217,2897,45636,1418,-3964,28938.2,899,34,17770.7,0.1907,35381.5,0.3796,32182000,2.57,0.00523,0.616,74.38,1.6,"Africa","Developing"
"728",728,"Morocco",2009,92897,2923,42897,1350,-1640,28287.2,890,33,14054.3,0.1515,32881,0.3544,31786000,2.56,0.00527,0.608,74,1.53,"Africa","Developing"
"729",729,"Morocco",2008,92507,2947,42044,1339,627,28290.7,901,30,20344.8,0.219,42365.7,0.456,31391000,2.55,0.00534,0.602,73.55,1.55,"Africa","Developing"
"730",730,"Morocco",2007,79041,2550,40256,1299,-99,22605.8,729,35,15340.1,0.1939,32010,0.4047,30998000,2.55,0.00544,0.594,73.01,1.48,"Africa","Developing"
"731",731,"Morocco",2006,68641,2243,37617,1229,-1337,19297.6,631,32,12743.8,0.1856,23979.8,0.3492,30606000,2.55,0.00556,0.586,72.4,1.47,"Africa","Developing"
"732",732,"Morocco",2005,62343,2063,36931,1222,-3679,19309.9,639,32,11189.8,0.1794,20790.1,0.3333,30215000,2.57,0.0057,0.58,71.75,1.45,"Africa","Developing"
"733",733,"Morocco",2004,59626,1999,35139,1178,-2139,15802.3,530,30,9925,0.1664,17822.3,0.2988,29826000,2.6,0.00585,0.572,71.07,1.38,"Africa","Developing"
"734",734,"Morocco",2003,52064,1769,32086,1090,-2111,13582.8,461,33,8778.3,0.1685,14250.2,0.2736,29438000,2.63,0.006,0.563,70.4,1.27,"Africa","Developing"
"735",735,"Morocco",2002,42238,1454,27159,935,-1998,11808.4,406,37,7849,0.1854,11863.7,0.2802,29051000,2.67,0.00613,0.552,69.77,1.29,"Africa","Developing"
"736",736,"Namibia",2016,11283,4854,4914,2115,-997,4477.7,1927,52,4084.1,0.362,6571.4,0.5824,2324000,3.5,0.00842,0.645,62.63,1.77,"Africa","Developing"
"737",737,"Namibia",2015,11769,5160,4819,2113,-950,5000.2,2192,53,4067.1,0.3456,7696.9,0.654,2281000,3.54,0.00867,0.642,62.12,1.7,"Africa","Developing"
"738",738,"Namibia",2014,12796,5718,3427,1531,-801,5195.1,2321,49,4612.1,0.3604,8523.3,0.6661,2238000,3.58,0.00901,0.636,61.43,1.63,"Africa","Developing"
"739",739,"Namibia",2013,12724,5794,3177,1447,-571,4661.1,2123,48,4628.9,0.3638,7620.6,0.5989,2196000,3.6,0.00946,0.628,60.51,1.59,"Africa","Developing"
"740",740,"Namibia",2012,13016,6039,3204,1487,-404,4558.1,2115,48,4388.8,0.3372,7256,0.5575,2155000,3.62,0.01001,0.617,59.39,1.52,"Africa","Developing"
"741",741,"Namibia",2011,12423,5871,3411,1612,-881,4780.3,2259,44,4406.7,0.3547,6592.6,0.5307,2116000,3.63,0.01065,0.607,58.09,1.48,"Africa","Developing"
"742",742,"Namibia",2010,11281,5411,1840,883,-561,3772.5,1809,44,4025.5,0.3568,5570,0.4938,2085000,3.63,0.01134,0.594,56.67,1.42,"Africa","Developing"
"743",743,"Namibia",2009,8915,4340,1415,689,-36,2852.6,1389,45,3146.3,0.3529,4980,0.5586,2054000,3.62,0.01204,0.583,55.21,1.4,"Africa","Developing"
"744",744,"Namibia",2008,8496,4199,1623,802,296,2412.7,1192,40,3140.5,0.3696,4340,0.5108,2024000,3.6,0.01269,0.575,53.82,1.39,"Africa","Developing"
"745",745,"Namibia",2007,8730,4379,1690,848,524,2276.6,1142,45,2921.6,0.3347,3520,0.4032,1994000,3.58,0.01323,0.568,52.59,1.25,"Africa","Developing"
"746",746,"Namibia",2006,7984,4008,2015,1012,263,2110.9,1060,41,2646.7,0.3315,2884.1,0.3612,1992000,3.56,0.01365,0.56,51.61,1.22,"Africa","Developing"
"747",747,"Namibia",2005,7258,3709,1969,1006,-23,2027.5,1036,43,2070,0.2852,2577.5,0.3551,1957000,3.55,0.01389,0.556,50.93,1.23,"Africa","Developing"
"748",748,"Namibia",2004,6617,3441,1948,1013,-178,1895.5,986,40,1827,0.2761,2395.6,0.362,1923000,3.57,0.01394,0.557,50.6,1.17,"Africa","Developing"
"749",749,"Namibia",2003,4932,2608,1351,714,-223,1546.8,818,47,1262,0.2559,1980,0.4015,1891000,3.6,0.01383,0.556,50.59,1.14,"Africa","Developing"
"750",750,"Namibia",2002,3369,1811,754,405,-47,1014.2,545,57,1071.6,0.3181,1470,0.4363,1860000,3.67,0.01357,0.554,50.86,1.08,"Africa","Developing"
"751",751,"Netherlands",2016,783844,46165,485234,28407,164,341694.5,20004,83,570606.8,0.7284,500797.3,0.6392,17081507,1.66,0.0087,0.928,81.7,10.03,"Europe","Developed"
"752",752,"Netherlands",2015,765650,45303,494800,29142,-15500,341532.9,20115,87,570441.5,0.7454,512105,0.6693,16979120,1.66,0.0087,0.926,81.6,9.98,"Europe","Developed"
"753",753,"Netherlands",2014,892398,53026,605307,35815,-19199,408091.3,24146,83,672410.4,0.754,589569.5,0.6607,16900726,1.71,0.0083,0.924,81.8,9.58,"Europe","Developed"
"754",754,"Netherlands",2013,877186,52277,593450,35263,-25689,408070.7,24248,83,671555.9,0.7656,589697.3,0.6723,16829289,1.68,0.0084,0.923,81.4,10.04,"Europe","Developed"
"755",755,"Netherlands",2012,839455,50176,555488,33105,-32873,392217.3,23375,84,655373.8,0.7812,586927,0.6996,16779575,1.72,0.0084,0.921,81.2,10.14,"Europe","Developed"
"756",756,"Netherlands",2011,905111,54342,558530,33384,-40077,423613.4,25320,89,667101.3,0.7369,594366,0.6565,16730348,1.76,0.0081,0.921,81.3,10.38,"Europe","Developed"
"757",757,"Netherlands",2010,848073,51166,502040,30142,-44455,405582,24351,88,574251.1,0.6777,516408.8,0.6052,16655799,1.79,0.0082,0.91,81,11.12,"Europe","Developed"
"758",758,"Netherlands",2009,870572,52807,494741,29849,-44328,414703.3,25020,89,497891,0.5713,443152.9,0.5085,16574989,1.79,0.0081,0.906,80.9,10.49,"Europe","Developed"
"759",759,"Netherlands",2008,951766,58015,520562,31576,1916,410345.8,24891,80,637917.9,0.6702,580936.9,0.6103,16485787,1.77,0.0082,0.906,80.5,10.83,"Europe","Developed"
"760",760,"Netherlands",2007,848659,51880,364727,22232,-780,359265.6,21899,90,550754.9,0.6491,492615.7,0.5805,16405399,1.72,0.0081,0.904,80.4,10.79,"Europe","Developed"
"761",761,"Netherlands",2006,733994,44936,331704,20278,730,315360.3,19279,87,463629.5,0.6317,416832.5,0.5679,16357992,1.72,0.0083,0.897,80,10.77,"Europe","Developed"
"762",762,"Netherlands",2005,685727,42055,341296,20895,-2717,289517,17725,86,406372.4,0.5929,363822.4,0.5309,16334210,1.71,0.0084,0.891,79.6,11.08,"Europe","Developed"
"763",763,"Netherlands",2004,658081,40477,331054,20303,-12017,286205.2,17553,80,357417.1,0.5429,319668.9,0.4855,16305526,1.72,0.0084,0.886,79.3,11.44,"Europe","Developed"
"764",764,"Netherlands",2003,579925,35814,289919,17832,-18228,258369.5,15892,89,296012.3,0.5103,264704.4,0.4563,16258032,1.75,0.0087,0.883,78.7,11.35,"Europe","Developed"
"765",765,"Netherlands",2002,473527,29402,231177,14277,-10090,206519,12754,90,244058.5,0.515,219264.5,0.4627,16192572,1.73,0.0088,0.878,78.5,11.28,"Europe","Developed"
"766",766,"New Zealand",2016,185058,38983,62061,13074,1644,67857.5,14295,90,33755.9,0.1792,36078.9,0.1915,4747000,1.87,0.00664,0.915,81.61,7.55,"Oceania","Developed"
"767",767,"New Zealand",2015,175404,37743,60282,12972,382,65631.9,14123,88,34355.2,0.1938,36553.6,0.2062,4647000,1.99,0.00687,0.914,81.46,7.77,"Oceania","Developed"
"768",768,"New Zealand",2014,199756,43858,68388,15014,-1057,75345.9,16541,91,41622.1,0.2069,42518.5,0.2114,4555000,1.92,0.00688,0.91,81.4,7.92,"Oceania","Developed"
"769",769,"New Zealand",2013,186980,41776,64701,14455,-2603,72246.5,16141,91,39444.8,0.2068,39640.9,0.2079,4476000,2.01,0.00665,0.907,81.41,7.8,"Oceania","Developed"
"770",770,"New Zealand",2012,175060,39554,62498,14121,-4015,69541.3,15712,90,37304.9,0.2118,38253.7,0.2172,4426000,2.1,0.00682,0.905,81.16,7.86,"Oceania","Developed"
"771",771,"New Zealand",2011,167113,37985,57981,13181,-8359,70774.5,16089,95,37668.6,0.2233,37104.9,0.2199,4399000,2.09,0.00686,0.902,80.9,7.54,"Oceania","Developed"
"772",772,"New Zealand",2010,145310,33222,43104,9854,-7966,62485.9,14286,93,31396.4,0.2139,30616.8,0.2086,4374000,2.17,0.00653,0.899,80.7,7.78,"Oceania","Developed"
"773",773,"New Zealand",2009,121757,28106,29649,6844,-2358,49288.1,11378,94,24932.6,0.2035,25573.9,0.2088,4332000,2.13,0.00673,0.898,80.7,7.85,"Oceania","Developed"
"774",774,"New Zealand",2008,135531,31664,25729,6011,1827,52230.8,12203,90,30580.1,0.2277,34369.3,0.2559,4280000,2.19,0.00685,0.894,80.35,8.6,"Oceania","Developed"
"775",775,"New Zealand",2007,134946,31784,21992,5180,4682,50013.7,11779,94,26943.4,0.196,30882,0.2246,4246000,2.18,0.00675,0.894,80.15,8.49,"Oceania","Developed"
"776",776,"New Zealand",2006,109763,26078,20192,4797,4926,41543.2,9870,96,22409.2,0.2009,26424.3,0.2369,4209000,2.01,0.00675,0.891,80.05,8.79,"Oceania","Developed"
"777",777,"New Zealand",2005,113204,27206,23524,5653,5661,42021.5,10099,96,21730.1,0.1893,26219.4,0.2284,4161000,1.97,0.00654,0.888,79.85,8.87,"Oceania","Developed"
"778",778,"New Zealand",2004,101581,24690,22875,5560,4440,36761.4,8936,90,20344,0.1982,23195,0.226,4114000,1.98,0.00695,0.886,79.55,8.8,"Oceania","Developed"
"779",779,"New Zealand",2003,82470,20305,20376,5016,2934,30244.6,7446,95,16527,0.1965,18559,0.2207,4062000,1.93,0.00695,0.884,79.15,9.02,"Oceania","Developed"
"780",780,"New Zealand",2002,62046,15552,16394,4109,1509,22842.7,5725,95,14383,0.2292,15047,0.2397,3990000,1.89,0.0071,0.881,78.85,8.92,"Oceania","Developed"
"781",781,"Nicaragua",2016,13286,2100,4109,649,-228,3560.6,563,26,4781.8,0.3599,6970.1,0.5246,6328000,2.46,0.00504,0.657,73.86,1,"North America","Developing"
